gene	RK10.3	RK11.3	RK12.2	RK12.3	RK7.1	RK7.2	RK8.1	RK8.2	RK2.1	RK2.2	RK3.1	RK3.2	RK4.1	RK4.2	RK6.1	RK6.2
ENSRNOG00000000187	76.61	60.66	83.5	93.52	68.87	67.28	33.71	58.54	63.8	78.99	45.05	46.05	66.89	64.9	73.16	63.07
ENSRNOG00000000190	3.15	2.7	3.11	3.93	8.2	6.19	1.97	5.63	4.72	5.94	2.23	1.87	7.6	8.15	5.8	4.88
ENSRNOG00000000195	2.33	5.8	2.19	3.72	2.22	2.19	16.38	5.62	0.54	1.32	2.51	3.13	3.73	2.09	5.58	2.94
ENSRNOG00000000196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000000201	1638.74	1482.22	1743.2	1526.95	928.29	813.65	245.37	874.8	2066.53	1604.11	1367.86	1377.94	1206.4	638.11	1133.1	1145.97
ENSRNOG00000000204	15.84	14.4	15.37	17.53	29.84	25.68	19.19	31.13	21.01	25.42	17.38	15.35	31.54	39.01	31.83	34.72
ENSRNOG00000000219	18.8	18.78	18.23	20.3	27.02	20.13	28.65	22.75	15.67	16.82	14.34	15.93	30	26.01	23.64	24.16
ENSRNOG00000000221	9.61	9.55	9.44	10.16	12.84	14.01	15.48	14.66	8.86	11.65	9.7	12.58	14.55	14.23	13.25	12.22
ENSRNOG00000000230	10.38	9.43	8.04	10.97	13.27	11.6	11.49	11.44	10.84	11.38	10.41	9.52	10.44	14.87	11.1	13.86
ENSRNOG00000000231	26.41	31.22	21.43	24.4	21.22	17.21	21.19	22.55	31.43	30.62	29.88	31.16	19.55	25.02	25.75	26.58
ENSRNOG00000000233	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0
ENSRNOG00000000236	30.37	27.98	31.06	29.31	53.81	45.52	48.76	51.1	37.89	41.33	30.96	34.68	47.09	49.91	52.11	49.27
ENSRNOG00000000237	2.83	3.51	1.72	5.3	5.99	5.76	2.9	6.83	2.92	4.08	1.7	1.32	5.67	4.8	4.77	5.31
ENSRNOG00000000239	0.92	0	0	0.65	0.94	3	3.81	3.67	0.23	2.18	1.22	0.68	3.12	1.62	5.62	3.11
ENSRNOG00000000244	1.47	1.55	0.9	1.48	2.77	3.25	2.59	3.29	2.2	3.11	1.9	1.57	1.65	4.04	2.84	2.78
ENSRNOG00000000245	8.44	5.18	9.62	9.83	7.13	5.1	2.88	5.6	5.3	10.21	5.33	5.32	7.71	8.12	5.84	7.14
ENSRNOG00000000246	16.96	15.94	16.26	16.48	19.13	20.81	18.04	21.6	16.16	20.04	14.72	17.5	17.11	18.94	19.13	19.77
