Symbol	Vehicle_2_36_norm
3110099E03Rik	7.18287232
3632451O06Rik	8.771529304
3830406C13Rik	8.733165936
4430402I18Rik	6.535543939
4632415L05Rik	10.42611955
4632428N05Rik	10.7049853
4632434I11Rik	7.25853659
4732456N10Rik	6.668299147
4732471J01Rik	5.804360697
4732491K20Rik	8.137784431
4831440E17Rik	6.482432602
4833411C07Rik	3.330429509
4833418N02Rik	6.789861127
4833420G17Rik	10.83862893
4833423E24Rik	6.98068347
4833439L19Rik	14.08162616
4921504A21Rik	6.526800225
4921504E06Rik	7.320375844
4921511M17Rik	6.874750025
4921524J17Rik	9.285251066
4921531C22Rik	6.730360115
4930402H24Rik	11.65985214
4930404N11Rik	8.595132735
4930412O13Rik	7.804360697
4930413G21Rik	6.832929849
4930414L22Rik	6.464285255
4930415O20Rik	6.369957873
4930426D05Rik	7.482432602
4930427A07Rik	9.154857944
4930429D17Rik	8.103019013
4930430F08Rik	8.611715619
4930431F12Rik	8.668299147
4930432K21Rik	6.136146865
4930433N12Rik	7.320375844
4930440I19Rik	7.908697357
4930442L01Rik	5.652357603
4930447C04Rik	9.266413016
4930451G09Rik	6.498593246
4930452B06Rik	7.967859429
4930453N24Rik	9.83646154
4930461G14Rik	5.160504507
4930470H14Rik	8.548521793
4930473A02Rik	6.369957873
4930474G06Rik	6.269028964
4930503E14Rik	7.595132735
4930503E24Rik	9.630146324
4930503L19Rik	7.482432602
4930506C21Rik	6.310251627
4930506M07Rik	11.18658553
4930509E16Rik	6.993394521
4930511M06Rik	8.448200267
4930519F09Rik	7.993394521
4930523C07Rik	9.263792316
4930524O08Rik	6.684066463
4930533B01Rik	6.535543939
4930539C22Rik	6.55282193
4930539E08Rik	8.967859429
4930545L23Rik	4.55282193
4930550C14Rik	7.482432602
4930555B11Rik	7.569895443
4930556G01Rik	5.160504507
4930556M19Rik	8.005994558
4930557J02Rik	5.832929849
4930562C15Rik	7.98068347
4930563D23Rik	6.067395103
4930564B18Rik	5.941864221
4930565N06Rik	7.330429509
4930578E11Rik	6.018485502
4930579G24Rik	7.722746931
4930581F22Rik	7.526826721
4930593A02Rik	8.822282605
4930594C11Rik	7.171731763
4930596I21Rik	7.941864221
4931403G20Rik	5.518056512
4931406C07Rik	13.77643725
4931406P16Rik	11.30643665
4931408D14Rik	7.301903937
4931414P19Rik	8.188410504
4931428F04Rik	7.362509802
4931430N09Rik	7.5442088
4931431C16Rik	6.874750025
4932414N04Rik	7.05532227
4932416H05Rik	7.509232661
4932438A13Rik	12.16647986
4933404O12Rik	8.741705089
4933406J08Rik	6.50035451
4933407K13Rik	8.88501836
4933409G03Rik	6.789861127
4933409K07Rik	6.350329066
4933411K20Rik	10.30770943
4933412E12Rik	8.881538883
4933415F23Rik	7.676204345
4933417G07Rik	6.569895443
4933421O10Rik	8.315322616
4933426M11Rik	12.83049679
4933427D14Rik	9.603448003
4933431E20Rik	9.825840424
4933434E20Rik	10.54286088
4933439C10Rik	7.226593698
5031414D18Rik	8.495894862
5031425E22Rik	9.085317011
5031439G07Rik	11.76783482
5330417C22Rik	9.320375844
5330426P16Rik	7.603448003
5430416N02Rik	7.091241845
5430416O09Rik	6.832929849
