Reporter Identifier	T00275905 normalised intensity	T00275905 quality flag
GE1103865	0.281	EMPTY
GE1103867	0.446	GOOD
GE1103868	0.514	GOOD
GE1103870	0.104	EMPTY
GE1103875	2.901	GOOD
GE1103901	0.344	EMPTY
GE1103905	1.379	GOOD
GE1103910	0.163	EMPTY
GE1103914	0.6	GOOD
GE1103915	1.784	GOOD
GE1103924	0.037	EMPTY
GE1103943	1.847	GOOD
GE1103948	3.683	GOOD
GE1103952	0.274	EMPTY
GE1103964	2.994	GOOD
GE1103965	0.811	GOOD
GE1103991	11.414	GOOD
GE1103994	0.207	EMPTY
GE1104000	10.098	GOOD
GE1104007	0.952	GOOD
GE1104016	0.213	EMPTY
GE1104017	4.941	GOOD
GE1104027	0.25	EMPTY
GE1104034	1.432	GOOD
GE1104044	0.098	EMPTY
GE1104048	0.074	EMPTY
GE1104067	7.48	GOOD
GE1104073	20.996	GOOD
GE1104090	0.257	EMPTY
GE1104096	1.283	GOOD
GE1104101	1.288	GOOD
GE1104103	4.723	GOOD
GE1104104	6.456	GOOD
GE1104121	3.745	GOOD
GE1104122	32.269	GOOD
GE1104124	0.403	EMPTY
GE1104139	6.463	GOOD
GE1104153	0.367	EMPTY
GE1104162	0.598	GOOD
GE1104171	0.156	EMPTY
GE1104185	5.622	GOOD
GE1104203	0.137	EMPTY
GE1104210	0.076	EMPTY
GE1104216	3.625	GOOD
GE1104220	1.508	GOOD
GE1104238	0.058	EMPTY
GE1104239	1.765	GOOD
GE1104242	0.036	EMPTY
GE1104244	0.272	EMPTY
GE1104256	0.037	EMPTY
GE1104269	0.074	EMPTY
GE1104278	0.087	EMPTY
GE1104279	0.213	EMPTY
GE1104285	0.915	GOOD
GE1104289	0.247	EMPTY
GE1104301	1.507	GOOD
GE1104303	0.042	EMPTY
GE1104308	0.923	GOOD
GE1104317	0.287	EMPTY
GE1104347	0.08	EMPTY
GE1104348	0.028	EMPTY
GE1104363	0.852	GOOD
GE1104366	2.235	GOOD
GE1104370	0.85	GOOD
GE1104371	3.374	GOOD
GE1104373	120.288	GOOD
GE1104401	15.154	GOOD
GE1104405	0.339	EMPTY
GE1104416	0.459	GOOD
GE1104423	0.092	EMPTY
GE1104425	0.269	EMPTY
GE1104433	0.143	EMPTY
GE1104448	4.942	GOOD
GE1104464	3.266	GOOD
GE1104467	1.152	GOOD
GE1104471	4.256	GOOD
GE1104482	0.481	GOOD
GE1104489	0.722	GOOD
GE1104493	0.069	EMPTY
GE1104514	1.594	GOOD
GE1104517	0.139	EMPTY
GE1104531	10.516	GOOD
GE1104534	1.079	GOOD
GE1104541	2.504	GOOD
GE1104545	0.804	GOOD
GE1104550	2.868	GOOD
GE1104564	0.133	EMPTY
GE1104583	3.649	GOOD
GE1104587	0.096	EMPTY
GE1104601	1.283	GOOD
GE1104607	0.063	EMPTY
GE1104608	1.217	GOOD
GE1104610	0.101	EMPTY
GE1104619	0.134	EMPTY
GE1104649	0.259	EMPTY
GE1104656	3.102	GOOD
GE1104662	0.489	GOOD
GE1104671	10.549	GOOD
GE1104678	0.463	GOOD
GE1104681	39.909	GOOD
GE1104683	0.185	EMPTY
GE1104688	4.058	GOOD
GE1104692	7.36	GOOD
GE1104698	0.525	GOOD
GE1104703	0.477	GOOD
GE1104705	0.155	EMPTY
GE1104719	0.155	EMPTY
GE1104727	0.139	EMPTY
GE1104731	0.175	EMPTY
GE1104733	2.299	GOOD
GE1104737	2.017	GOOD
GE1104759	0.597	GOOD
GE1104785	14.581	GOOD
GE1104790	0.245	EMPTY
GE1104792	4.085	GOOD
GE1104803	3.441	GOOD
GE1104805	0.013	EMPTY
GE1104825	0.172	EMPTY
GE1104826	1.292	GOOD
GE1104865	2.436	GOOD
GE1104869	0.129	EMPTY
GE1104872	0.655	GOOD
GE1104885	0.148	EMPTY
GE1104887	0.007	EMPTY
GE1104894	2.587	GOOD
GE1104900	0.238	EMPTY
GE1104916	1.281	GOOD
GE1104918	0.365	EMPTY
GE1104928	0.074	EMPTY
GE1104940	0.967	GOOD
GE1104943	0.135	EMPTY
GE1104952	0.333	EMPTY
GE1104958	1.805	GOOD
GE1104964	5.244	GOOD
GE1104972	1.128	GOOD
GE1104985	0.398	EMPTY
GE1104989	2	GOOD
GE1104994	0.055	EMPTY
GE1105012	2.135	GOOD
GE1105016	1.74	GOOD
GE1105019	1.286	GOOD
GE1105029	4.023	GOOD
GE1105052	0.211	EMPTY
GE1105058	2.577	GOOD
GE1105078	1.357	GOOD
GE1105080	0.211	EMPTY
GE1105085	8.589	GOOD
GE1105086	11.869	GOOD
GE1105101	1.183	GOOD
GE1105106	3.122	GOOD
GE1105115	4.042	GOOD
GE1105117	0.868	GOOD
GE1105134	0.924	GOOD
GE1105140	2.353	GOOD
GE1105151	4.571	GOOD
GE1105158	0.151	EMPTY
GE1105168	0.322	EMPTY
GE1105170	0.316	EMPTY
GE1105171	0.194	EMPTY
GE1105178	0.45	EMPTY
GE1105213	0.967	GOOD
GE1105220	2.386	GOOD
GE1105221	4.223	GOOD
GE1105222	0.455	GOOD
GE1105232	7.744	GOOD
GE1105248	1.042	GOOD
GE1105255	0.325	EMPTY
GE1105257	0.196	EMPTY
GE1105283	23.408	GOOD
GE1105286	0.026	EMPTY
GE1105292	0.077	EMPTY
GE1105300	2.327	GOOD
GE1105303	0.129	EMPTY
GE1105317	2.059	GOOD
GE1105323	2.695	GOOD
GE1105356	0.051	EMPTY
GE1105372	0.13	EMPTY
GE1105391	0.608	GOOD
GE1105405	1.576	GOOD
GE1105422	3.234	GOOD
GE1105432	0.374	EMPTY
