Symbol	Vehicle_2_17_norm
2700029M09Rik	9.311386129
2700046A07Rik	6.018027186
2700046G09Rik	6.884760655
2700049A03Rik	8.607076479
2700054A10Rik	6.973116129
2700060E02Rik	12.01714291
2700062C07Rik	8.505473181
2700081O15Rik	9.317145398
2700089E24Rik	12.24910715
2700094K13Rik	8.388504034
2700097O09Rik	8.246266569
2700099C18Rik	7.003813327
2810001G20Rik	7.602989687
2810002D19Rik	7.805033463
2810004N23Rik	10.64366441
2810006K23Rik	8.9417916
2810008D09Rik	8.960311688
2810013P06Rik	9.492806769
2810021J22Rik	8.293969076
2810025M15Rik	9.667529939
2810029C07Rik	7.564770365
2810032G03Rik	6.203582839
2810047C21Rik1	6.974958464
2810403A07Rik	11.85488201
2810408A11Rik	8.454126301
2810408M09Rik	9.025081944
2810410L24Rik	7.165780807
2810417H13Rik	7.178491858
2810428I15Rik	10.35822638
2810474O19Rik	11.18716519
2900005J15Rik	7.729306137
2900009J06Rik	6.75499278
2900026A02Rik	10.79784308
2900076A07Rik	7.264465082
2900092D14Rik	9.070115697
2900097C17Rik	13.53202564
3000002C10Rik	9.564770365
3010026O09Rik	7.667529939
3110001I22Rik	7.433064686
3110002H16Rik	9.835449805
3110021N24Rik	6.574420535
3110035E14Rik	6.322881768
3110040N11Rik	8.742206625
3110043O21Rik	9.464542917
3110052M02Rik	8.032102371
3110056K07Rik	8.849427582
3110057O12Rik	9.408996926
3110062M04Rik	7.366773534
3110079O15Rik	6.8691638
3110082I17Rik	7.311386129
3110099E03Rik	7.729306137
3632451O06Rik	9.34841686
3830406C13Rik	8.321058007
4430402I18Rik	7.454126301
4632415L05Rik	10.67315449
4632428N05Rik	10.48578108
4632434I11Rik	6.612388385
4732456N10Rik	6.821335275
4732471J01Rik	6.667529939
4732491K20Rik	6.805033463
4831440E17Rik	6.720641276
4833411C07Rik	4.046041562
4833418N02Rik	7.602989687
4833420G17Rik	10.36166508
4833423E24Rik	6.574420535
4833439L19Rik	15.05247309
4921504A21Rik	5.846305941
4921504E06Rik	7.126961558
4921511M17Rik	7.711924059
4921524J17Rik	9.509862615
4921531C22Rik	7.003813327
4930402H24Rik	11.72984597
4930404N11Rik	8.25849118
4930412O13Rik	7.813207394
4930413G21Rik	6.900190696
4930414L22Rik	6.737919267
4930415O20Rik	6.474884861
4930426D05Rik	7.40088428
4930427A07Rik	7.649382592
4930429D17Rik	7.876983305
4930430F08Rik	8.345601844
4930431F12Rik	7.178491858
4930432K21Rik	6.242606667
4930433N12Rik	8.003813327
4930440I19Rik	7.55505521
4930442L01Rik	6.389995964
4930447C04Rik	8.800929065
4930451G09Rik	7.159254785
4930452B06Rik	7.907844268
4930453N24Rik	9.884760655
4930461G14Rik	6.018027186
4930470H14Rik	9.222118791
4930473A02Rik	5.8691638
4930474G06Rik	7.073522299
4930503E14Rik	6.593529358
4930503E24Rik	9.408996926
4930503L19Rik	7.140017711
4930506C21Rik	6.960311688
4930506M07Rik	10.02265334
4930509E16Rik	6.8691638
4930511M06Rik	8.847426678
4930519F09Rik	8.689897752
4930523C07Rik	8.617064872
4930524O08Rik	6.474884861
4930533B01Rik	6.454126301
4930539C22Rik	7.087068831
4930539E08Rik	7.191091895
4930545L23Rik	6.454126301
4930550C14Rik	7.631004063
4930555B11Rik	7.059847362
4930556G01Rik	6.367969657
4930556M19Rik	8.351226393
4930557J02Rik	6.771866599
4930562C15Rik	8.146501744
4930563D23Rik	5.805033463
4930564B18Rik	6.853396484
4930565N06Rik	6.900190696
4930578E11Rik	6.126961558
4930579G24Rik	6.771866599
4930581F22Rik	7.367969657
